Date,Close,Open,High,Low,Volume,변동 %
2016-01-04,22850 ,22650 ,23800 ,22350 ,273.73K,1.33%
2016-01-05,22300 ,22400 ,22900 ,22150 ,181.66K,-2.41%
2016-01-06,23000 ,22500 ,23350 ,22350 ,220.77K,3.14%
2016-01-07,22750 ,22800 ,23300 ,22400 ,180.11K,-1.09%
2016-01-08,22850 ,22300 ,23150 ,21750 ,169.57K,0.44%
2016-01-11,22500 ,22800 ,23000 ,22450 ,121.35K,-1.53%
2016-01-12,22150 ,22500 ,22750 ,22150 ,95.44K,-1.56%
2016-01-13,22650 ,22350 ,22750 ,22250 ,143.12K,2.26%
2016-01-14,22300 ,22300 ,22300 ,21700 ,168.28K,-1.55%
2016-01-15,21900 ,22500 ,22850 ,21900 ,183.07K,-1.79%
2016-01-18,21400 ,21400 ,21650 ,21150 ,137.15K,-2.28%
2016-01-19,21600 ,21650 ,21750 ,20700 ,168.96K,0.93%
2016-01-20,21050 ,21700 ,23200 ,20900 ,376.81K,-2.55%
2016-01-21,20950 ,21000 ,21450 ,20850 ,161.60K,-0.48%
2016-01-22,21350 ,21150 ,21450 ,20950 ,129.91K,1.91%
2016-01-25,22200 ,21700 ,22700 ,21400 ,186.53K,3.98%
2016-01-26,21500 ,22400 ,22500 ,21500 ,174.19K,-3.15%
2016-01-27,21150 ,21600 ,21800 ,21000 ,131.11K,-1.63%
2016-01-28,21150 ,20850 ,21350 ,20750 ,114.07K,0.00%
2016-01-29,21400 ,21150 ,21800 ,20800 ,120.95K,1.18%
2016-02-01,24000 ,21650 ,25200 ,21250 ,901.72K,12.15%
2016-02-02,22450 ,23950 ,23950 ,21950 ,545.64K,-6.46%
2016-02-03,21400 ,22250 ,22250 ,21150 ,344.14K,-4.68%
2016-02-04,18900 ,18350 ,19700 ,17550 ,1.29M,-11.68%
2016-02-05,18300 ,19000 ,19250 ,18000 ,434.41K,-3.17%
2016-02-11,18100 ,17500 ,19200 ,17300 ,430.18K,-1.09%
2016-02-12,16550 ,18000 ,18000 ,16200 ,409.50K,-8.56%
2016-02-15,17050 ,17000 ,17150 ,16600 ,188.93K,3.02%
2016-02-16,17900 ,17050 ,17900 ,17000 ,170.13K,4.99%
2016-02-17,17150 ,17850 ,18400 ,16950 ,184.45K,-4.19%
